	지점명	아파트명	주소	준공년월	세대
162	스타벅스 인천학익DT점	동아풍림아파트	인천 미추홀구 소성로 120	1999.11	1480
163	스타벅스 강동구청DT점	성안마을청구아파트	서울 강동구 풍성로 114-1	2002.07	349
164	스타벅스 제주도남DT점	영도그린힐아파트	제주 제주시 대원길 13	2004.01	88
165	스타벅스 김천시청DT점	신음현대1차아파트	경북 김천시 시청로 46	1996.12	959
166	스타벅스 천안성정DT점	에프엠21주상복합	충남 천안시 서북구 쌍용대로 348	2014.08	204
167	스타벅스 수원IC DT점	황골마을주공1단지아파트	경기 수원시 영통구 영통로 498	1997.12	3129
168	스타벅스 경남사천DT점	토성에어빌아파트관리사무실(에스엠)	경남 사천시 사천읍 사천대로 1891-2		
169	스타벅스 양주덕정역DT점	봉우마을주공5단지아파트	경기 양주시 고암길 354	2000.08	1732
170	스타벅스 안양운동장사거리DT점	달안동샛별한양2단지아파트	경기 안양시 동안구 학의로 98	1993.04	844
171	스타벅스 구미금오산DT점	푸르지오캐슬A단지아파트	경북 구미시 박정희로 599	2007.08	1878
172	스타벅스 평촌역DT점	인덕원푸르지오엘센트로	경기 의왕시 안양판교로 100	2019.11	1774
173	스타벅스 연희DT점	연화아파트	서울 서대문구 연희로25길 101	1975.12	32
174	스타벅스 대구평리DT점	평리청구타운아파트	대구 서구 서대구로 77	2000.03	605
175	스타벅스 광주산정DT점	하남광주부영사랑으로2차아파트	광주 광산구 목련로 41	2008.11	957
176	스타벅스 전주백제대로DT점	전주중화산동풍림아이원아파트	전북 전주시 완산구 서원로 289	2011.04	498
177	스타벅스 다대포DT점	다대동현대아파트	부산 사하구 다대로 473	1993.09	2181
178	스타벅스 대구중동DT점	수성효성해링턴플레이스	대구 수성구 희망로24길 24	2020.02	745
179	스타벅스 화성병점DT점	다람마을월드메르디앙2차아파트	경기 화성시 병점4로 37	2005.11	109
180	스타벅스 대전유천DT점	한사랑벽산아파트	대전 중구 계백로1615번길 12	1994.07	120
181	스타벅스 경기광주송정DT점	금강펜테리움2단지아파트	경기 광주시 경안천로 145	2010.06	344
182	스타벅스 평택서정DT점	동산아파트	경기 평택시 특구로27번길 46	1989.10	520
183	스타벅스 충주시청DT점	충주센트럴푸르지오	충북 충주시 연수서편2길 11	2018.10	608
184	스타벅스 진주칠암DT점	주약현대I아파트	경남 진주시 진주대로815번길 11	2000.11	835
185	스타벅스 신림DT점	라이프미성아파트	서울 관악구 조원로2길 13	1982.10	280
186	스타벅스 풍무사거리DT점	풍무대림아파트	경기 김포시 풍무로93번길 30	2003.09	575
187	스타벅스 제주용담DT점	가나아파트	제주 제주시 성화로1길 33	1992.12	19
188	스타벅스 인천송도DT점	송도웰카운티4단지아파트	인천 연수구 해송로30번길 20	2010.02	465
189	스타벅스 이천증포DT점	이천설봉KCC스위첸아파트	경기 이천시 이섭대천로 1325	2016.08	562
190	스타벅스 광주연제DT점	연제대주피오레2차아파트	광주 북구 양일로 52	2007.08	353
191	스타벅스 시흥대야DT점	e편한세상시흥센텀하임아파트	경기 시흥시 비둘기공원7길 10	2019.09	659
192	스타벅스 종암DT점	극동아파트	서울 성북구 북악산로29길 67	2000.12	297
193	스타벅스 역곡역DT점	역곡역e편한세상아파트	경기 부천시 역곡로19번길 26	2011.08	445
194	스타벅스 오산갈곶DT점	KCC스위첸아파트	경기 오산시 오산로 49-5	2010.04	408
195	스타벅스 천안서부대로DT점	쌍용주공7단지2차아파트	충남 천안시 서북구 쌍용11길 55	1995.03	593
196	스타벅스 춘천후평DT점	춘천더샵아파트	강원 춘천시 후석로 325	2008.06	1792
197	스타벅스 용인시청DT점	용인행정타운두산위브2단지아파트	경기 용인시 처인구 지삼로590번길 9	2013.11	624
198	스타벅스 안양석수DT점	안양석수역푸르지오아파트	경기 안양시 만안구 삼성산길 8	2009.06	542
199	스타벅스 대구두류DT점	세신아파트	대구 서구 달구벌대로361길 9	1981.04	41
200	스타벅스 포천DT점	세창선단마을아파트	경기 포천시 선마로 22	2001.05	398
201	스타벅스 광명소하DT점	광명역세권휴먼시아3단지아파트	경기 광명시 성채로 36	2011.02	797
202	스타벅스 남양주진접DT점	해밀마을반도유보라메이플타운5단지	경기 남양주시 진접읍 해밀예당1로 145	2009.12	873
203	스타벅스 제주삼화DT점	삼화부영6차아파트관리사무소	제주 제주시 화삼로 107		
204	스타벅스 대전수침교DT점	유등마을쌍용아파트	대전 중구 수침로 138	2000.07	964
205	스타벅스 방화DT점	방화2-1단지SH빌아파트	서울 강서구 방화대로48길 40	1993.10	2547
206	스타벅스 진해자은DT점	자은협성DS이아이존빌아파트	경남 창원시 진해구 풍호로35번길 11	2014.06	433
207	스타벅스 풍무역DT점	김포풍무꿈에그린유로메트로1단지아파트	경기 김포시 풍무로68번길 39	2014.05	965
208	스타벅스 공릉DT점	현대아파트	서울 노원구 동일로176길 39-12	1999.05	145
209	스타벅스 밀양DT점	밀양삼문지엘리베라움2단지아파트	경남 밀양시 미리벌로3길 11	2016.05	298
210	스타벅스 사상주례DT점	주례한일유앤아이아파트	부산 사상구 백양대로 372-15	2005.02	988
211	스타벅스 전주덕진광장DT점	거성대학촌아파트	전북 전주시 덕진구 명륜4길 16	1983.08	60
212	스타벅스 광주수완DT점	수완코오롱하늘채아파트	광주 광산구 장덕로137번길 39	2008.12	753
213	스타벅스 오산IC DT점	원동이편한세상2단지아파트	경기 오산시 오산로132번길 10	2007.06	1360
214	스타벅스 수영망미DT점	수영SK뷰아파트	부산 수영구 망미배산로 56	2019.06	1147
215	스타벅스 양산덕계DT점	양산KCC스위첸아파트	경남 양산시 평산회야로 167	2019.10	553
216	스타벅스 전북정읍DT점	정읍연지동영무예다음	전북 정읍시 중앙로 55 정읍연지동영무예다음	2017.06	821
217	스타벅스 광주신가DT점	광주수완대방노블랜드5차아파트	광주 광산구 풍영로170번길 39-26	2011.10	545
218	스타벅스 신정DT점	목동힐스테이트아파트	서울 양천구 중앙로36길 15	2016.05	1081
219	스타벅스 전주송천DT점	송천뜨란채아파트	전북 전주시 덕진구 붓내3길 29	1998.12	1992
220	스타벅스 용인동백DT점	어정마을동백아이파크아파트	경기 용인시 기흥구 언동로217번길 11	2007.03	313
221	스타벅스 동서대DT점	주례한일유앤아이아파트	부산 사상구 백양대로 372-15	2005.02	988
222	스타벅스 청주율량DT점	율량서희스타힐스아파트	충북 청주시 청원구 충청대로84번길 30	2016.06	508
223	스타벅스 백석역DT점	흰돌마을서안5단지아파트	경기 고양시 일산동구 일산로 11		
224	스타벅스 용인보라DT점	보라마을현대모닝사이드아파트	경기 용인시 기흥구 용구대로 1842	2003.06	771
225	스타벅스 청주비하DT점	청주하복대아름다운나날1차아파트	충북 청주시 흥덕구 증안로 21	2003.10	952
226	스타벅스 강동암사DT점	삼성광나루아파트	서울 강동구 상암로3길 77	2002.11	490
227	스타벅스 북수원IC DT점	수원SK스카이뷰아파트	경기 수원시 장안구 이목로 24		
228	스타벅스 수지성복DT점	수지LG빌리지1차아파트	경기 용인시 수지구 성복2로 86	2001.02	1164
229	스타벅스 의왕청계DT점	인덕원푸르지오엘센트로	경기 의왕시 안양판교로 100	2019.11	1774
230	스타벅스 부산안락DT점	부산더샵파크시티	부산 연제구 안연로 33	2015.06	1758
