	loc_name	address	num_review	latitude	longitude
202	등대해변	강원도 속초시 영랑해안길 37	1533	38.2135792	128.600589
203	청호해변	강원도 속초시 아바이마을1길 6	846	38.2029323	128.5939033
204	안산	서울특별시 서대문구 봉원동	0	37.5725233	126.9469831
205	오분해변	강원도 삼척시 오분동 208-1	1125	37.4263995	129.1917125
206	배봉산	서울특별시 동대문구 전농동	0	37.5792622	127.0554405
207	북분해수욕장	강원 양양군 현남면 북분리	10299	37.984168	128.7408492
208	마차진해변	강원도 고성군 현내면 금강산로	27454	38.5137107	128.4184957
209	아야진해변	강원도 고성군 토성면 아야진해변길	38887	38.2717786	128.5551476
210	동산포해변	강원도 양양군 현남면 동해대로 912	30172	37.9555352	128.7715635
211	천진해변	강원도 고성군 토성면 천진해변길	31218	38.2595534	128.5586555
212	국립대운산치유의숲	울산광역시 울주군 온양읍 대운상대길 225-92	1382	35.3988889	129.2311111
213	사천해변(사천해수욕장)	강원도 강릉시 사천면 해안로 877	37935	37.8291967	128.8776823
214	연곡해변(연곡해수욕장)	강원도 강릉시 연곡면 해안로 1282	40889	37.8580844	128.8530771
215	주문진해변	강원도 강릉시 주문진읍 주문북로 210	48099	37.9105902	128.8182985
216	남애해변(남애1, 3리)	강원도 양양군 현남면 매호길 14	44346	37.9539544	128.7693824
217	하조대해변	강원도 양양군 현북면 하조대해안길 35	84767	38.0229011	128.7242129
218	북정마을	서울특별시 성북구 성북로23길 132-3	0	37.5927742	126.990972
219	낙산해수욕장	강원도 양양군 강현면 해맞이길 59	97668	38.1167945	128.6340071
220	설악해변	강원도 양양군 강현면 뒷나루2길	34859	38.1284578	128.6234861
221	오산해수욕장	강원도 양양군 손양면 선사유적로 712-9	38976	38.0903851	128.6614652
222	삼척해변	강원도 삼척시 테마타운길 76	52977	37.4677394	129.1682387
223	속초해변	강원도 속초시 해오름로 190	111080	38.1905509	128.6019216
224	어달해변	강원도 동해시 일출로	46414	37.5679794	129.1137057
225	물안해수욕장	경상남도 거제시 하청면 칠천로	21319	34.9896781	128.6368115
226	용화해변	강원도 삼척시 근덕면 용화리	51114	37.269242	129.288489
227	망상해변	강원도 동해시 동해대로	188765	37.5311952	129.1068506
228	교암해변	강원도 고성군 토성면 천학정길	37302	38.2906477	128.5469863
229	동호해변(양양)	강원도 양양군 손양면 선사유적로	36571	38.0554002	128.6844692
230	회동수원지	부산광역시 금정구 개좌로 147	0	35.2251511	129.1167009
231	작은후진해수욕장	강원도 삼척시 새천년도로 467	31573	37.4638711	129.1761481
232	죽도해변(양양)	강원도 양양군 현남면 인구중앙길	41705	37.9703125	128.7567437
